title,artist,year,decade,lyrics
Baby One More Time,Britney Spears,1999,1990s,"151 ContributorsTranslationsItalianoEspañolTiếng ViệtPolskiTürkçePortuguêsČeskysrpskiDeutsch...Baby One More Time Lyrics“…Baby One More Time” attained global success, reaching number one in nearly every country it charted in. It also received numerous certifications around the world, and is one of the best-selling singles of… Read More 
Oh, baby, baby
Oh, baby, baby

Oh, baby, baby
How was I supposed to know
That somethin' wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby
The reason I breathe is you (Oh yeah)
Boy, you got me blinded
Oh, pretty baby
There's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby (Oh)
Oh, baby, baby (Yeah, yeah)

Oh, baby, baby
How was I supposed to know?
Oh, pretty baby
I shouldn't have let you go
I must confess that my loneliness is killin' me now
Don't you know I still believe
That you will be here and give me a sign?
Hit me, baby, one more time

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

I must confess that my loneliness (My loneliness is killin' me)
Is killin' me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you, I lose my mind)
That you will be here and give me a sign?
Hit me, baby, one more time"
Wannabe,Spice Girls,1996,1990s,"117 ContributorsTranslationssrpskiWannabe Lyrics“Wannabe (Tell Me What You Want)” is a hit song by the British pop group Spice Girls. It was a single from their debut album Spice, released in 1996. The girls wrote the song with the help of Richard Stannard… Read More 
Ha-ha-ha-ha-ha

Yo, I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna (Hey), I wanna (Hey), I wanna (Hey), I wanna (Hey)
I wanna really, really, really wanna ""zig-a-zig"", ah

If you want my future
Forget my past
If you wanna get with me
Better make it fast
Now, don't go wasting
My precious time
Get your act together
We could be just fine

I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna (Hey), I wanna (Hey), I wanna (Hey), I wanna (Hey)
I wanna really, really, really wanna ""zig-a-zig"", ah

If you wanna be my lover
You gotta get with my friends (Gotta get with my friends)
Make it last forever
Friendship never ends
If you wanna be my lover
You have got to give
Taking is too easy
But that's the way it is

Oh, what you think about that
Now you know how I feel
Say you could handle my love
Are you for real? (Are you for real?)
I won't be hasty
I'll give you a try
If you really bug me
Then I'll say goodbye

Yo, I'll tell you what I want, what I really, really want
So tell me what you want, what you really, really want
I wanna (Hey), I wanna (Hey), I wanna (Hey), I wanna (Hey)
I wanna really, really, really wanna ""zig-a-zig"", ah

If you wanna be my lover
You gotta get with my friends (Gotta get with my friends)
Make it last forever
Friendship never ends
If you wanna be my lover
You have got to give (You've got to give)
Taking is too easy
But that's the way it is

So here's a story from A to Z
You wanna get with me, you gotta listen carefully
We got Em in the place who likes it in your face
We got G like MC who likes it on an—
Easy V doesn't come for free, she's a real lady
And as for me, ha-ha, you'll see
Slam your body down and wind it all around
Slam your body down and wind it all around

If you wanna be my lover
You gotta get with my friends (Gotta get with my friends)
Make it last forever
Friendship never ends
If you wanna be my lover
You have got to give (You've got to give)
Taking is too easy
But that's the way it is

If you wanna be my lover
You gotta, you gotta, you gotta, you gotta
You gotta slam, slam, slam, slam
Make it last forever (Ha, ha, ha, ha)
Slam your body down and wind it all around
Slam your body down and wind it all around (Ha, ha, ha)
Slam your body down and wind it all around
Slam your body down and ""zig-a-zig"", ah

If you wanna be my lover"
No Scrubs,TLC,1999,1990s,"25 ContributorsTranslationsPortuguêsNo Scrubs Lyrics“No Scrubs” was the lead single from TLC’s third album, FanMail, released on February 2, 1999. The song was a huge success. Topping the charts in early 1999 and going #1 in the United States, Australia… Read More 
Oh

A scrub is a guy that thinks he's fly
And is also known as a busta
Always talkin' 'bout what he wants
And just sits on his broke ass, so

No, I don't want your number
No, I don't wanna give you mine and
No, I don't wanna meet you nowhere
No, don't want none of your time and

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me

Well, a scrub checkin' me, but his game is kinda weak
And I know that he cannot approach me
'Cause I'm lookin' like class and he's lookin' like trash
Can't get with a deadbeat ass, so

No, I don't want your number
No, I don't wanna give you mine and
No, I don't wanna meet you nowhere
No, don't want none of your time

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me

If you don't have a car and you're walkin'
Oh, yes, son, I'm talkin' to you
If you live at home with your mama
Oh, yes, son, I'm talkin' to you (Baby)
If you have a shorty that you don't show love
Oh, yes, son, I'm talkin' to you
Wanna get with me with no money, oh no
I don't want no
No scrub
No scrub (No, no)
No scrub (No, no, no, no)
No scrub (No, no)

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub (No)
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me (Yeah)
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his..."
Waterfalls,TLC,1995,1990s,"119 ContributorsWaterfalls Lyrics“Waterfalls” is a Grammy-nominated 1995 single by TLC from their second album CrazySexyCool and arguably the group’s signature song.

The song was produced by Organized Noize and written by Marqueze Etheridge… Read More 
A lonely mother gazing out of the window
Staring at a son that she just can't touch
If at any time he's in a jam, she'll be by his side
But he doesn't realize he hurts her so much
But all the praying just ain't helping at all
'Cause he can't seem to keep himself out of trouble
So he goes out and he makes his money the best way he knows how
Another body laying cold in the gutter, listen to me

Don't go chasing waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Little precious has a natural obsession
For temptation, but he just can't see
She gives him loving that his body can't handle
But all he can say is, ""Baby, it's good to me""
One day, he goes and takes a glimpse in the mirror
But he doesn't recognize his own face
His health is fading, and he doesn't know why
Three letters took him to his final resting place, y'all don't hear me

Don't go chasing waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all (Your way or no way)
But I think you're moving too fast
Don't go chasing waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Come on!
I seen a rainbow yesterday, but too many storms
Have come and gone, leaving a trace of not one God-given ray
Is it because my life is ten shades of gray?
I pray all ten fade away, seldom praise Him for the sunny days
And like His promise is true, only my faith can undo
The many chances I blew to bring my life to anew
Clear blue and unconditional skies
Have dried the tears from my eyes, no more lonely cries
My only bleeding hope is for the folk who can't cope
With such an endurin' pain that it keeps 'em in the pourin' rain
Who's to blame for tooting 'caine into your own vein?
What a shame, you shoot and aim for someone else's brain
You claim the insane, and name this day in time
For falling prey to crime
I say the system got you victim to your own mind
Dreams are hopeless aspirations in hopes of coming true
Believe in yourself, the rest is up to me and you

Don't go chasing waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast
Don't go chasing waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're movin' too fast (Ooh, you're movin' too fast)
Don't go chasing waterfalls (Don't go, don't go)
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all (I know, I know, your way, hey)
But I think you're moving too fast"
I Will Always Love You,Whitney Houston,1992,1990s,"107 ContributorsTranslationsΕλληνικάItalianosrpskiDeutschI Will Always Love You Lyrics“I Will Always Love You” was covered by Whitney Houston and recorded for her 1992 film The Bodyguard. The song was originally written by Dolly Parton and released on June 6, 1974 as the second single from her… Read More 
If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you every step of the way

And I
Will always love you
I will always love you

You
My darling, you
Mm, mm

Bittersweet memories
That is all I'm taking with me
So goodbye, please, don't cry
We both know I'm not what you, you need

And I
Will always love you
I will always love you
You

I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you joy and happiness
But above all this, I wish you love

And I will always love you
I will always love you
I will always love you
I will always love you
I will always love you
I, I will always love you, you

Darling, I love you
Ooh, I'll always
I'll always love you"
Creep,TLC,1994,1990s,"45 ContributorsCreep Lyrics“Creep” is the first single from TLC’s iconic sophomore album CrazySexyCool.

The lyrics are from the perspective of a woman who is aware of her boyfriend’s infidelity, and in turn, cheats on him in an effort… Read More 
Yes
It's me again
And I'm back
Ah-ah, woo

(Creep) Oh I, oh I, oh I, yeah
(Creep) Oh I, oh I, oh I, ah yeah
(Creep) Oh I oh I, oh I, ah yeah

The 22nd of loneliness
And we've been through so many things
I love my man with all honesty
But I know he's cheating on me

(Creep) I look him in his eyes
But all he tells me is lies to keep me near
I'll never leave him down
Though I might mess around
It's only 'cause I need some affection

So I creep, yeah
Just keep it on the down low
Said nobody is supposed to know
So I creep, yeah
'Cause he doesn't know what I do
And no attention goes to show
Oh, so I creep

The 23rd of loneliness
And we don't talk like we used to do
Now it seems pretty strange
But I'm not buggin', 'cause I still feel the same
Yeah, yeah

(Creep) I'll keep giving loving
'Till the day he pushes me away
Never go astray
If he knew the things I did (Woo)
He couldn't handle it
And I choose to keep him protected, oh

So I creep, yeah
Just keep it on the down low
Said nobody is supposed to know
So I creep, yeah (Yeah)
'Cause he doesn't know what I do
And no attention goes to show, oh
(So I creep, yeah)
I think about us baby all the time
(Just keep it on the down low)
But you know that I'm gonna need some attention, yeah, yeah
(Said nobody is supposed to know)
And I shake it
(So I creep, yeah)
Love you forever, baby, soul and mind
('Cause he doesn't know what I do)
And you gotta know it, if you don't give it, I'm gonna get mine, yeah, yeah
(And no attention goes to show, oh)

(So I creep) Oh I, oh I, oh I, yeah
(So I creep) Oh I, oh I, oh I, yeah
(So I creep) Oh I, oh I, oh I, baby
Oh I, oh I, oh I, ah yeah

Yeah, yeah
Yeah, yeah
Yeah

(So I creep, yeah)
I creep around because I need attention
(I just keep it on the down low)
Don't mess around with my affection, yeah
(So I creep, yeah)
I creep around because I need attention
('Cause he doesn't know what I do)
Don't mess around with my affection, yeah
(So I creep, yeah)
Oh I, oh I, oh I, ah yeah
(I just keep it on the down low)
Oh I, oh I, oh I, ah
(So I creep, yeah)
Oh I, oh I, oh I, ah yeah
('Cause he doesn't know what I do)
Oh I, oh I, oh I, ah

So I creep, yeah (Yeah)
Just keep it on the down low
Said nobody is supposed to know
So I creep, yeah
'Cause he doesn't know what I do
And no attention, goes to show"
MMMBop,Hanson,1997,1990s,"48 ContributorsMMMBop Lyrics“MMMBop” was Hanson’s most successful single, and the song that propelled them into the world sales stratosphere, selling 10 million copies off the back of this debut single.

Looking back on the song, the… Read More 
Oh
Oh, ooh
Oh, ooh
Oh, yeah

You have so many relationships in this life
Only one or two will last
You go through all the pain and strife
Then you turn your back and they're gone so fast
Oh, yeah
And they're gone so fast, yeah

Oh, so hold on the ones who really care
In the end, they'll be the only ones there
When you get old, start losing your hair
Can you tell me who will still care?
Can you tell me who will still care?

Oh, ooh, yeah, yeah

Mmmbop, ba duba dop ba
Du bop, ba duba dop ba
Du bop, ba duba dop ba du
Yeah, yeah
Mmmbop, ba duba dop ba
Du bop, ba du dop ba
Du bop, ba du dop ba du
Yeah, yeah

Said oh, yeah
In an mmmbop, they're gone
Yeah, yeah

Plant a seed, plant a flower, plant a rose
You can plant any one of those
Keep planting to find out which one grows
It's a secret no one knows
It's a secret no one knows
Oh, no one knows

Mmmbop, ba duba dop ba
Du bop, ba duba dop ba
Du bop, ba duba dop ba du
Yeah, yeah
Mmmbop, ba duba dop ba
Du bop, ba du dop ba
Du bop, ba du dop ba du
Yeah, yeah

In an mmmbop, they're gone
In an mmmbop, they're not there
In an mmmbop, they're gone
In an mmmbop, they're not there
Until you lose your hair
Ooh, but you don't care
Yeah, yeah

Mmmbop, ba duba dop ba
Du bop, ba duba dop ba
Du bop, ba duba do ba du
Yeah, yeah
Mmmbop, ba duba dop ba
Du bop, ba du dop ba
Du bop, ba du dop ba du
Yeah

Can you tell me? Oh
No, you can't 'cause you don't know
Can you tell me? Oh, yeah
You say you can, but you don't know
Can you tell me? Oh
Which flower's going to grow?
No, you can't 'cause you don't know
Can you tell me?
If it's gonna be a daisy or a rose?
You say you can, but you don't know
Can you tell me? Oh
Which flower's going to grow?
No, you can't 'cause you don't know
Can you tell me?
You say you can, but you don't know
Said you can, but you don't know
You don't know, oh, don't know, oh

Mmmbop, du bop
Du bop, du
Yeah, yeah
Mmmbop, du bop
Du bop, du
Yeah, yeah
Mmmbop, ba duba dop ba
Du bop, ba duba dop ba
Du bop, ba duba dop ba du
Yeah, yeah
Mmmbop, ba duba dop ba
Du bop, ba du dop ba
Du bop, ba du dop ba du
Oh
Mmmbop, ba duba dop ba
Du bop, ba duba dop ba
Du bop, ba duba dop ba du
Whoa
Mmmbop, ba duba dop ba
Du bop, ba du dop ba
Du bop, ba du dop ba du
Whoa, yeah

Can you tell me? Oh
No, you can't 'cause you don't know
Can you tell me? Oh, yeah
You say you can, but you don't know
Say you can, but you don't know, don't"
Livin La Vida Loca,Ricky Martin,1999,1990s,"81 ContributorsTranslations日本語 (Japanese)TürkçeDeutschLivin’ La Vida Loca LyricsMartin’s biggest ever worldwide song, and a possible gateway to artists such as Shakira, Enrique Iglesias and even Paulina Rubio to cross over into the English speaking Billboard Charts.

“Livin' La Vida… Read More 
Do a little more vibe on this track, please

She's into superstitions
Black cats and voodoo dolls
I feel a premonition
That girl's gonna make me fall

She's into new sensations
New kicks in the candlelight
She's got a new addiction
For every day and night

She'll make you take your clothes off
And go dancin' in the rain
She'll make you live her crazy life
But she'll take away your pain
Like a bullet to your brain (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil-red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (Come on)
Livin' la vida loca (Come on)
She's livin' la vida loca

Woo
All right

Woke up in New York City
In a funky cheap hotel
She took my heart, and she took my money
She must've slipped me a sleeping pill

She never drinks the water, makes you order French champagne
Once you've had a taste of her, you'll never be the same
Yeah, she'll make you go insane (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil-red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (All right)
Livin' la vida loca
She's livin' la vida loca

Woo

She'll make you take your clothes off and go dancin' in the rain
She'll make you live her crazy life, but she'll take away your pain
Like a bullet to your brain (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil-red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (Come on)
Livin' la vida loca (Come on)
She's livin' la vida loca (Come on)
Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil-red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (Come on)
Livin' la vida loca (Come on)
She's livin' la vida loca (Come on)

Gotta, gotta, gotta la vida, come on
Come on, everyone
Come on
Gotta la vida loca
Gotta, gotta la vida loca
Gotta, gotta la vi—"
Genie In A Bottle,Christina Aguilera,1999,1990s,"63 ContributorsTranslationsPortuguêsČeskyGenie in a Bottle LyricsReleased in 1999, “Genie in a Bottle” was the lead single from Christina Aguilera’s self-titled debut album. The song sold over 7 million copies, and propelled her to international success.
(Come on, come on, uh, yeah)
Ooh, woah-oh (Come on, come on, uh)

I feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me
You're lickin' your lips and blowin' kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby (Baby, baby, baby)

Oh-oh-woah
My body's sayin', ""Let's go"" (Go)
Oh-oh-woah
But my heart is sayin', ""No, no""

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (In a bottle, baby)
You gotta rub me the right way (Yeah)
If you wanna be with me
I can make your wish come true
You gotta make a big impression (Oh, yeah)
Gotta like what you do (What you do)

I'm a genie in a bottle, baby
You gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come on and let me out

The music's bangin' and the lights down low
Just one more dance and then we're good to go
Waiting for someone who needs me (Mm)
Hormones racin' at the speed of light
But that don't mean it's gotta be tonight (Yeah)
Baby, baby, baby (Baby, baby, baby)

Oh-oh-woah
My body's sayin', ""Let's go""
Oh-oh-ooh (Mm)
But my heart is sayin', ""No"" (But my heart is sayin' ""No, no"")

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way (Oh, yeah)
If you wanna be with me (Ooh)
I can make your wish come true (Your wish come true, oh)
Just come and set me free, baby
And I'll be with you

I'm a genie in a bottle, baby
You gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come on and let me out
I'm a genie in a bottle, baby (Mm)
Gotta rub me the right way, honey (Mm; if you wanna be with me)
I'm a genie in a bottle, baby (Come on, come on)
Come, come, come on and let me out

Oh-oh-woah (Come on, come on)
My body's sayin', ""Let's go""
Oh-oh-woah (Mm; come on, come on)
But my heart is sayin', ""No, no""

If you wanna be with me
Baby, there's a price to pay (Pay)
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way (Woah)
If you wanna be with me (With me)
I can make your wish come true (Ooh)
You gotta make a big impression
Gotta like what you do (Oh, yeah, yeah)
If you wanna be with me (If you wanna be with me)
Baby, there's a price to pay (Uh, yeah, uh)
I'm a genie in a bottle (Yeah, in a bottle, baby)
You gotta rub me the right way (You gotta rub me the right way)
If you wanna be with me (If you wanna be with me, yeah)
I can make your wish come true
Just come and set me free, baby
And I'll be with you

I'm a genie in a bottle, baby
Come, come, come on and let me out"
I Want It That Way,Backstreet Boys,1999,1990s,"168 ContributorsTranslationsEspañolPortuguêsΕλληνικάDeutschI Want It That Way Lyrics“I Want It That Way” is about a strained relationship. The lyrical interpretation of this song, however, is notoriously muddled. They don’t necessarily make sense—and this is the subject of much the online… Read More 
Yeah

You are my fire
The one desire
Believe when I say
I want it that way

But we are two worlds apart
Can't reach to your heart
When you say
That I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothing but a mistake
Tell me why
I never wanna hear you say
I want it that way

Am I your fire?
Your one desire
Yes, I know it's too late
But I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

Now I can see that we've fallen apart
From the way that it used to be, yeah
No matter the distance, I want you to know
That deep down inside of me

You are my fire
The one desire
You are (You are, you are, you are)
Don't wanna hear you say

Ain't nothin' but a heartache (Hey, yeah)
Ain't nothin' but a mistake (Don't wanna hear you say)
I never wanna hear you say (Oh, yeah)
I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say (Don't wanna hear you say)
I want it that way
Tell me why
Ain't nothin' but a heartache
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say (Never wanna hear you say, yeah)
I want it that way

'Cause I want it that way"
