artist,title,year,peak
Justin Bieber,Love Yourself,2016,1
Drake,One Dance,2016,2
Rihanna,Work,2016,3
Justin Bieber,Sorry,2016,4
The Chainsmokers,Don't Let Me Down,2016,5
Desiigner,Panda,2016,6
Lukas Graham,7 Years,2016,7
Sia,Cheap Thrills,2016,8
Fifth Harmony,Work from Home,2016,9
Calvin Harris,This Is What You Came For,2016,10
Mike Posner,I Took a Pill in Ibiza,2016,11
The Chainsmokers,Closer,2016,12
Twenty One Pilots,Stressed Out,2016,13
Twenty One Pilots,Heathens,2016,14
Adele,Hello,2016,15
Flo Rida,My House,2016,16
DJ Snake,Let Me Love You,2016,17
Zayn,Pillowtalk,2016,18
Meghan Trainor,Me Too,2016,19
Charlie Puth,One Call Away,2016,20
Selena Gomez,Hands to Myself,2016,21
Drake,Hotline Bling,2016,22
Beyonce,Formation,2016,23
Bruno Mars,24K Magic,2016,24
Justin Timberlake,Can't Stop the Feeling,2016,25
Ed Sheeran,Shape of You,2017,1
Luis Fonsi,Despacito,2017,2
Bruno Mars,That's What I Like,2017,3
The Chainsmokers,Something Just Like This,2017,4
DJ Khaled,I'm the One,2017,5
Migos,Bad and Boujee,2017,6
Kendrick Lamar,HUMBLE.,2017,7
Post Malone,Congratulations,2017,8
Sam Hunt,Body Like a Back Road,2017,9
Imagine Dragons,Believer,2017,10
Charlie Puth,Attention,2017,11
Camila Cabello,Havana,2017,12
Taylor Swift,Look What You Made Me Do,2017,13
Future,Mask Off,2017,14
Ed Sheeran,Perfect,2017,15
Khalid,Location,2017,16
Cardi B,Bodak Yellow,2017,17
French Montana,Unforgettable,2017,18
Maroon 5,What Lovers Do,2017,19
Logic,1-800-273-8255,2017,20
Post Malone,Rockstar,2017,21
Selena Gomez,It Ain't Me,2017,22
Lil Uzi Vert,XO Tour Llif3,2017,23
DJ Khaled,Wild Thoughts,2017,24
Zedd,Stay,2017,25
Drake,God's Plan,2018,1
Post Malone,Psycho,2018,2
Post Malone,Better Now,2018,3
Cardi B,I Like It,2018,4
Bruno Mars,Finesse,2018,5
Drake,Nice for What,2018,6
Camila Cabello,Never Be the Same,2018,7
Ariana Grande,No Tears Left to Cry,2018,8
Maroon 5,Girls Like You,2018,9
Childish Gambino,This Is America,2018,10
Drake,In My Feelings,2018,11
Travis Scott,Sicko Mode,2018,12
XXXTentacion,SAD!,2018,13
Bebe Rexha,Meant to Be,2018,14
Marshmello,Happier,2018,15
Lady Gaga,Shallow,2018,16
5 Seconds of Summer,Youngblood,2018,17
Post Malone,Sunflower,2018,18
Ariana Grande,"Thank U, Next",2018,19
Imagine Dragons,Natural,2018,20
Tyga,Taste,2018,21
Halsey,Without Me,2018,22
Juice WRLD,Lucid Dreams,2018,23
Ella Mai,Boo'd Up,2018,24
Khalid,Love Lies,2018,25
Lil Nas X,Old Town Road,2019,1
Billie Eilish,Bad Guy,2019,2
Post Malone,Sunflower,2019,3
Halsey,Without Me,2019,4
Shawn Mendes,Senorita,2019,5
Lil Tecca,Ran$om,2019,6
Khalid,Talk,2019,7
Lewis Capaldi,Someone You Loved,2019,8
Jonas Brothers,Sucker,2019,9
Ariana Grande,7 Rings,2019,10
Post Malone,Wow.,2019,11
Ed Sheeran,I Don't Care,2019,12
Sam Smith,Dancing with a Stranger,2019,13
Taylor Swift,ME!,2019,14
Ava Max,Sweet but Psycho,2019,15
Lizzo,Truth Hurts,2019,16
Travis Scott,Highest in the Room,2019,17
Marshmello,Wow,2019,18
Maroon 5,Memories,2019,19
Billie Eilish,When the Party's Over,2019,20
Cardi B,Please Me,2019,21
DaBaby,Suge,2019,22
Lil Nas X,Panini,2019,23
